commit_hash,ip_block,commit_message,categories,at_risk_dv_files,justification,confidence,model,in_tokens,out_tokens,cost_usd
9c5e034dc7ea8f308950ee58136ce5f79ae0f2c9,aes,[aes] Extend CSRs for AES-GCM support,"[""SEQUENCE_INVALIDATION"", ""RAL_DESYNC""]","[""*_common_vseq.sv"", ""*_vseq.sv"", ""*_reg_block.sv"", ""*_ral_pkg.sv""]","The commit adds new CSR fields (ctrl_gcm_shadowed register with phase and num_valid_bytes fields) and introduces new GCM-phase-dependent validation logic in aes_common_vseq.sv. The sequence now conditionally validates the new ctrl_gcm_shadowed register based on current phase state, and the RAL model must reflect the new register structure and field definitions. New helper function ctrl_gcm_reg_map_invalid_value() enforces phase-transition constraints that were not previously modeled.",HIGH,claude-haiku-4-5-20251001,7433,211,0.008488
9880fe1ff4d8e00cba3129975647b31659d64690,csrng,"[top, csrng, entropy_src] Remove CS AES halt request interface","[""INTERFACE_DRIFT"", ""SEQUENCE_INVALIDATION""]","[""*_env.sv"", ""*_env_cfg.sv"", ""*_virtual_sequencer.sv"", ""*_base_vseq.sv"", ""*_vseq.sv""]","The commit removes the CS AES halt request interface (cs_aes_halt_i/o ports) from RTL, which directly breaks the DV environment that encodes explicit knowledge of this interface. The DV diff shows removal of the m_aes_halt_agent, aes_halt configuration parameters, and aes_halt sequence logic from the testbench, indicating both interface-level port removal (INTERFACE_DRIFT) and sequence invalidation due to the eliminated protocol (SEQUENCE_INVALIDATION).",HIGH,claude-haiku-4-5-20251001,9176,212,0.010236
15df2c3ab0f9f3b7d15bda26c7066e37a58440a7,csrng,[csrng/dv] Align dv with RTL changes,"[""COVERAGE_REGRESSION"", ""SEQUENCE_INVALIDATION""]","[""*_cov_if.sv"", ""*_coverage*.sv"", ""*_env_cfg.sv"", ""*_env_pkg.sv"", ""*_seq*.sv""]","The commit removes obsolete command codes (GENB, GENU) and simplifies FSM error modes in csrng_pkg, requiring extensive updates to coverage collection (csrng_cov_if.sv with removed coverpoint bins and cross coverage ignore patterns) and DV environment configuration (csrng_env_cfg.sv and csrng_env_pkg.sv with updated error enumerations and constraint distributions). The removal of error codes and command variants invalidates coverage points and constraint-based randomization sequences.",HIGH,claude-haiku-4-5-20251001,5385,230,0.006535
f5ac5ace257115510ea18a145cc0d2f8173be7f7,csrng,[csrng/rtl] Instantiate the unified CTR_DRBG module,"[""ASSERTION_ORPHANING"", ""INTERFACE_DRIFT""]","[""*_bind.sv"", ""*_sva.sv"", ""*_assert*.sv"", ""*_env_pkg.sv"", ""*_agent.sv""]","The commit removes internal RTL hierarchy (csrng_ctr_drbg_gen, csrng_ctr_drbg_upd, csrng_ctr_drbg_cmd modules) and consolidates them into a unified csrng_ctr_drbg module. The DV diff shows removal of assertions that reference the old module paths (CsrngSecCmAesCipherDataRegLocalEscGen, CtrDrbgUpdAlertCheck_A, DrbgCmdFsmCheck_A, etc.) and changes to block_encrypt interface (csrng_benc_data_t → csrng_key_v_t, removal of fifo_cmdid_err_o port). These changes break DV assertions via orphaned hierarchy paths and modify the interface contract that DV agents/monitors depend on.",HIGH,claude-haiku-4-5-20251001,5261,285,0.006686
be5d8c337adb3c389fb22022e0db4f81d45ac977,csrng,[csrng/rtl] Remove the genbits FIFO from ctr_drbg_gen,"[""SEQUENCE_INVALIDATION"", ""COVERAGE_REGRESSION""]","[""*_env_pkg.sv"", ""*_path_if.sv"", ""*_vseq.sv"", ""*_coverage*.sv"", ""*_cov*.sv""]","RTL removal of the genbits FIFO requires corresponding DV changes: enum entries for sfifo_ggenbits_error and related error codes are removed from csrng_env_pkg.sv, breaking test sequences that reference these error conditions; FIFO path lookups in csrng_path_if.sv are updated to exclude the removed FIFO; and test sequences (csrng_err_vseq, csrng_intr_vseq) that inject errors into or check the genbits FIFO are invalidated. Coverage points targeting the removed FIFO are now unreachable.",HIGH,claude-haiku-4-5-20251001,7333,234,0.008503
81753011df0d9e9d6d6972b0c13ec84ae37b4f2f,csrng,[csrng/rtl] Remove the rcstage FIFO from ctr_drbg_gen,"[""INTERFACE_DRIFT"", ""SEQUENCE_INVALIDATION"", ""CHECKER_DESYNC""]","[""*_env_pkg.sv"", ""*_path_if.sv"", ""*_vseq.sv"", ""*_scoreboard.sv""]","RTL removal of the rcstage FIFO and FSM state changes break DV components: (1) INTERFACE_DRIFT: signal removal (fifo_grcstage_err_o) and parameter changes (StateWidth 5→6, new FSM states) in RTL invalidate env_pkg.sv and path_if.sv which encode explicit knowledge of design interface and hierarchy paths; (2) SEQUENCE_INVALIDATION: removal of sfifo_grcstage_error/sfifo_grcstage_err enums from case statements in err_vseq.sv and intr_vseq.sv renders error injection sequences structurally invalid; (3) CHECKER_DESYNC: FSM behavioral changes with new states (BencRspWait, UpdRspWait, UpdESHalt) and conditional logic branches are not reflected in reference model.",HIGH,claude-haiku-4-5-20251001,7853,299,0.009348
065b300909f5a4e4d93e66079fc1b2a897d85005,csrng,[csrng/rtl] Remove the genreq FIFO from ctr_drbg_gen,"[""SEQUENCE_INVALIDATION"", ""INTERFACE_DRIFT""]","[""*_env_pkg.sv"", ""*_vseq.sv"", ""*_path_if.sv""]","The RTL removal of the genreq FIFO from ctr_drbg_gen eliminates signals, error codes, and test bits that were explicitly encoded in DV environment packages and sequences. The DV diff shows removal of sfifo_ggenreq_error and sfifo_ggenreq_err enums from csrng_env_pkg.sv, elimination of genreq FIFO path handling in csrng_path_if.sv, and deletion of conditional logic in csrng_err_vseq.sv and csrng_intr_vseq.sv that previously targeted sfifo_ggenreq error injection. This breaks both the interface abstraction (error code mapping) and the error injection sequences that depended on this FIFO's existence.",HIGH,claude-haiku-4-5-20251001,9702,260,0.011002
81ccf2754d896fe5bb8cea011314d7c31fb74662,csrng,[csrng/rtl] Remove the keyvrc FIFO from ctr_drbg_cmd,"[""INTERFACE_DRIFT"", ""SEQUENCE_INVALIDATION"", ""CHECKER_DESYNC""]","[""*_env_pkg.sv"", ""*_path_if.sv"", ""*_vseq.sv"", ""*_scoreboard.sv""]","The RTL removal of the keyvrc FIFO and its associated error signals breaks multiple DV components: (1) env_pkg.sv enumerations and register offset mappings now reference deleted FIFO error fields, causing interface drift; (2) path_if.sv hierarchical path lookup for keyvrc FIFO is removed, breaking path generation; (3) err_vseq and intr_vseq sequences reference deleted sfifo_keyvrc_err and sfifo_keyvrc_error enums, invalidating test sequences; (4) scoreboard and coverage models must be updated to remove keyvrc FIFO monitoring and coverage collection.",HIGH,claude-haiku-4-5-20251001,7483,245,0.008708
f7c6f00f54a395b54a6f184811b7b38e1a3bc02f,csrng,[csrng/rtl] Remove the rcstage FIFO from ctr_drbg_cmd,"[""SEQUENCE_INVALIDATION"", ""COVERAGE_REGRESSION""]","[""*_env_pkg.sv"", ""*_cov_if.sv"", ""*_vseq.sv"", ""*_seq_lib.sv""]","The commit removes the rcstage FIFO and adds a new FSM (drbg_cmd_sm) to csrng_ctr_drbg_cmd.sv. The DV changes show: (1) register bit position remapping in csrng_env_pkg.sv (fatal_err_e and err_code_e enums), which invalidates any sequences that directly reference old error code positions; (2) coverage model updates in csrng_cov_if.sv reflecting new FSM error states (DRBG_CMD_SM_ERR), indicating coverage points must track the newly added FSM behavior. These changes break existing test sequences that assume the old register layout and coverage collection mechanisms.",HIGH,claude-haiku-4-5-20251001,8874,250,0.010124
f7b31ff77021a65621f2f500e5d07e5beae527dd,csrng,[csrng/rtl] Remove the bencack FIFO from ctr_drbg_upd,"[""ASSERTION_ORPHANING"", ""SEQUENCE_INVALIDATION""]","[""*_bind.sv"", ""*_sva.sv"", ""*_assert*.sv"", ""*_vseq.sv"", ""*_env_pkg.sv"", ""*_path_if.sv""]","The RTL removal of the bencack FIFO from ctr_drbg_upd invalidates a complex SVA assertion that referenced the FIFO's internal FIFO singleton path (`u_prim_fifo_sync_bencack.gen_singleton_fifo`). Additionally, the DV sequences and environment packages (csrng_err_vseq.sv, csrng_intr_vseq.sv, csrng_env_pkg.sv, csrng_path_if.sv) contained hardcoded references to sfifo_bencack error codes and path configurations that are now structurally invalid.",HIGH,claude-haiku-4-5-20251001,9131,249,0.010376
0ee349b144d463f3f866cc398cc69eaae2df24c3,csrng,[csrng/csrng_core] Rework the state db arbitration,"[""ASSERTION_ORPHANING""]","[""*_vseq.sv""]","The RTL diff introduces a new assertion `CsrngNoConcurrentGenCmdRsp_A` in csrng_core.sv and the DV diff updates two virtual sequences (csrng_err_vseq.sv and csrng_intr_vseq.sv) to explicitly disable/enable this new assertion during test execution. The DV changes manage the lifecycle of a newly introduced RTL assertion, which is the hallmark of ASSERTION_ORPHANING category—DV sequences must be aware of and control new assertions to prevent false failures during intentional RTL stress testing.",HIGH,claude-haiku-4-5-20251001,6791,192,0.007751
bc4814e071adec3c59804a355a262f773339b629,csrng,[csrng] Use the correct counter widths in csrng_err_vseq,"[""SEQUENCE_INVALIDATION""]","[""*_vseq.sv"", ""*_err_vseq.sv""]","The DV diff shows csrng_err_vseq.sv correcting hardcoded counter width assumptions (13, 32) to use the authoritative values from csrng_pkg (GenBitsCtrWidth, CtrLen). The sequence was operating with incorrect protocol/parameter knowledge, causing test failures. The fix restores alignment between the sequence and the design's actual parameter definitions.",HIGH,claude-haiku-4-5-20251001,3334,155,0.004109
330c84e76c8ea60eddfa2671e5a6d19f90469f80,csrng,[csrng/rtl] Remove the updreq FIFO from ctr_drbg_upd,"[""INTERFACE_DRIFT"", ""SEQUENCE_INVALIDATION"", ""COVERAGE_REGRESSION""]","[""*_env_pkg.sv"", ""*_if.sv"", ""*_vseq.sv"", ""*_cov*.sv""]","The RTL commit removes the updreq FIFO module entirely from ctr_drbg_upd. The DV diff shows corresponding deletions in csrng_env_pkg.sv (removal of sfifo_updreq_error, sfifo_updreq_err, and related error code mappings), csrng_path_if.sv (removal of sfifo_updreq from FIFO path lookup), and csrng_err_vseq.sv and csrng_intr_vseq.sv (removal of sfifo_updreq from error test sequences). These changes represent interface drift (FIFO signal and error port removal), sequence invalidation (error injection sequences no longer applicable), and potential coverage regression (coverage points tied to updreq FIFO now unreachable).",HIGH,claude-haiku-4-5-20251001,8773,281,0.010178
98ecdc343f9d714e6d391ecfc8a33091c5182f0d,csrng,[csrng/rtl] Remove the pdata FIFO from ctr_drbg_upd,"[""SEQUENCE_INVALIDATION"", ""INTERFACE_DRIFT""]","[""*_env_pkg.sv"", ""*_vseq.sv"", ""*_if.sv""]","The RTL removal of the pdata FIFO invalidates DV sequences that reference sfifo_pdata error codes and FIFO enumerations. The DV diff shows explicit removal of sfifo_pdata_error, sfifo_pdata_err, and sfifo_pdata entries from csrng_env_pkg.sv, and corresponding sequence logic removals in csrng_err_vseq.sv and csrng_intr_vseq.sv. The csrng_path_if.sv interface also requires updates to remove pdata path mapping, representing interface drift.",HIGH,claude-haiku-4-5-20251001,8909,217,0.009994
9238065d5b5446b7e549cf1003c6064d16e86473,soc_dbg_ctrl,"[hw,soc_dbg_ctrl,rtl] Don't use SW-defined debug policy when CPU is not alive","[""INTERFACE_DRIFT"", ""SEQUENCE_INVALIDATION""]","[""*_misc_io_if.sv"", ""*_base_vseq.sv"", ""tb.sv""]","RTL added two new input ports (lc_cpu_en_i, lc_rma_state_i) to the soc_dbg_ctrl module. The DV diff shows corresponding updates to the testbench interface (*_misc_io_if.sv), base sequence initialization (*_base_vseq.sv), and tb.sv port connections. The interface drift is evident in the signal additions and corresponding testbench modifications. Sequences must now account for the new state-dependent logic that conditions SW debug policy on CPU and RMA state, requiring sequence invalidation.",HIGH,claude-haiku-4-5-20251001,3733,210,0.004783
b8fc3dfde4cd0f708e87dc70910497c1888329a0,lc_ctrl,"[hw,rtl,top,lc_ctrl,otp_ctrl] Allow reading partitions in RMA state","[""INTERFACE_DRIFT"", ""CHECKER_DESYNC""]","[""*_env_pkg.sv"", ""*_if.sv"", ""*_scoreboard.sv"", ""*_common_vseq.sv"", ""tb_top.sv""]","New output port `lc_rma_state_o` added to RTL module, requiring updates across all DV interface representations (*_if.sv, *_env_pkg.sv) and expected output tables in the reference model (*_scoreboard.sv). The DV diff shows systematic updates to capture the new signal in testbench connectivity (tb.sv) and scoreboard prediction logic, but the new signal also appears in the RMA state-dependent output table (lc_outputs_t), necessitating reference model alignment.",HIGH,claude-haiku-4-5-20251001,8211,212,0.009271
69bea3a2981ac016577355fe92ab2b57945eeacf,csrng,[csrng/rtl] Refactor csrng_ctr_drbg_gen (2/2),"[""INTERFACE_DRIFT"", ""ASSERTION_ORPHANING""]","[""*_bind.sv"", ""*_assert*.sv"", ""*_tb.sv""]","The RTL diff shows comprehensive signal renaming and interface restructuring (cmd_result_* → ctr_drbg_cmd_rsp_*, gen_result_* → ctr_drbg_gen_rsp_*, individual signals packed into structs). The DV diff shows assertion path updates referencing changed internal signal names (BlkEncAckFifoWidth → BencDataWidth) and removed parameters, indicating testbench hierarchy assertions require synchronization with the refactored interface.",HIGH,claude-haiku-4-5-20251001,5910,186,0.00684
495e1d26c23ab76f0da7feda1a4bb86cc1e9fa00,csrng,[csrng/rtl] Refactor csrng_ctr_drbg_upd (2/2),"[""INTERFACE_DRIFT"", ""ASSERTION_ORPHANING""]","[""*_tb.sv"", ""*_bind.sv"", ""*_assert*.sv"", ""*_env_pkg.sv"", ""*_if.sv"", ""*_agent.sv"", ""*_driver.sv"", ""*_monitor.sv""]","The RTL refactor changes the block_encrypt interface from individual signal ports (block_encrypt_req_o, block_encrypt_ccmd_o, block_encrypt_inst_id_o, block_encrypt_key_o, block_encrypt_v_o, block_encrypt_ack_i, etc.) to struct-based ports (block_encrypt_req_vld_o, block_encrypt_req_data_o, block_encrypt_rsp_vld_i, block_encrypt_rsp_data_i). This structural port change will break any DV component that encodes explicit knowledge of the original interface (INTERFACE_DRIFT). Additionally, the DV diff shows an assertion reference path update in tb.sv that replaces a local parameter reference (BlkEncAckFifoDepth, BlkEncAckFifoWidth) with a package constant reference (BencDataWidth), indicating orphaned assertion paths requiring repair (ASSERTION_ORPHANING).",HIGH,claude-haiku-4-5-20251001,5850,327,0.007485
492b896e30d1f404a6b00e4a73a8f276ab7f26dc,csrng,[csrng] More thorough renaming of FIFO control signals,"[""SEQUENCE_INVALIDATION"", ""INTERFACE_DRIFT""]","[""*_base_vseq.sv"", ""*_err_vseq.sv"", ""*_intr_vseq.sv"", ""*_seq_lib.sv""]","The commit renames FIFO control signals from `*_full` to `*_wrdy` and inverts the force values throughout DV sequences. The DV diff shows explicit changes to UVM sequences (csrng_base_vseq, csrng_err_vseq, csrng_intr_vseq) that reference these signal names and force logic, breaking the existing protocol interface assumptions and rendering stimulus generation structurally invalid.",HIGH,claude-haiku-4-5-20251001,8992,198,0.009982
d2253b50c09ea1058cc4851cd12dc1a5a60eef43,entropy_src,[entropy_src/rtl] Absorb full window before triggering SHA3 processing,"[""ASSERTION_ORPHANING"", ""CHECKER_DESYNC""]","[""*_path_if.sv"", ""*_bind.sv"", ""*_sva.sv"", ""*_assert*.sv"", ""*_scoreboard.sv""]","The DV diff removes an assertoff directive for `FifosEmptyWhenShaProcess_A`, indicating that the RTL behavioral fix (delaying SHA3 processing until FIFOs are drained) now makes the previously disabled assertion valid. This means DV assertions that were orphaned/disabled due to the bug are now being re-enabled, and the scoreboard reference model may need updates to reflect the new pipeline timing behavior around SHA3 processing triggers.",MEDIUM,claude-haiku-4-5-20251001,5330,195,0.006305
57f9776639e938193dfc15c3bcc6c208f07e321d,entropy_src,"[entropy_src] Lock up Ack SM upon fatal local events, align scoreboard","[""CHECKER_DESYNC""]","[""*_scoreboard.sv""]",The RTL changed the Ack SM's escalation condition from a single signal (es_cntr_err) to a broader one (fatal_loc_events). The scoreboard's reference model has been updated to reflect this behavioral change by expanding the error cases that trigger fatal escalation and correcting the error mask to include both main_sm and ack_sm errors. This is a scoreboard realignment with RTL behavioral changes.,HIGH,claude-haiku-4-5-20251001,2614,151,0.003369
6181a2dabb86d0a3f93de15df0df124264f62be2,keymgr_dpe,"[hw,keymgr_dpe,rtl] Remove constraint of maximum number of derivation stages","[""SEQUENCE_INVALIDATION"", ""CHECKER_DESYNC""]","[""*_scoreboard.sv"", ""*_base_vseq.sv"", ""*_smoke_vseq.sv""]","The RTL removes the maximum boot stage constraint (DpeNumBootStages parameter) and introduces a 3-state enumeration (BootStageCreator, BootStageOwner, BootStageRuntime) with unbounded advancement. The scoreboard's boot stage increment logic must now handle the new runtime stage and its no-increment behavior, and sequences must adapt their operational constraints that previously checked boot_stage < DpeNumBootStages-1.",HIGH,claude-haiku-4-5-20251001,7842,186,0.008772
c0314764d50cebe8e9e209b8d9d23f21a3ab7a7a,keymgr_dpe,"[hw,keymgr_dpe,rtl] Initialize slots with randomness (and during erase)","[""CHECKER_DESYNC""]","[""*_scoreboard.sv""]","The RTL diff changes slot initialization and erasure to use randomness (entropy_i) instead of zeros, but the DV scoreboard still models erasure as setting slots to '0. The scoreboard's reference model no longer matches the actual RTL behavior—it expects erased slots to contain zeros, but the hardware now fills them with random entropy values. The added check_key_slot_erased flag and old_key tracking indicate an attempt to address this, but the fundamental mismatch persists: the scoreboard clears the key to '0 while the RTL randomizes it.",HIGH,claude-haiku-4-5-20251001,3294,185,0.004219
14d4c87471cde3432858c1e892102e5608e2567a,csrng,[csrng] Rename misleading FIFO status signals,"[""SEQUENCE_INVALIDATION""]","[""*_base_vseq.sv"", ""*_err_vseq.sv"", ""*_intr_vseq.sv""]","The commit renames internal FIFO signal names in the RTL (push→wvld, pop→rrdy, not_empty→rvld). The DV sequences contain hard-coded string literals for hierarchical signal path probing that must match the RTL signal names exactly. The DV diff shows updates to these string literals across multiple sequence files, indicating that sequences were directly invalidated by the RTL signal renames and required explicit correction.",HIGH,claude-haiku-4-5-20251001,7806,179,0.008701
