commit_number,commit_hash,ip_block,commit_message,is_ground_truth,llm_categories,llm_confidence,llm_justification
13,25add112171bb71e6a1119943bcf3d9935da031d,mbx,"[hw,mbx] Update source files with new license header",NO,"[""OTHER""]",HIGH,"This commit updates only license headers across DV files with no functional changes to RTL interfaces, sequences, scoreb"
14,621b69ea0c35c5d30373755f65fc4108fbceb0dc,otp_ctrl,[otp_ctrl] Use comportable channels for alerts emanating from prim_otp,NO,"[""INTERFACE_DRIFT"", ""ASSERTION_ORPHANING""]",HIGH,The commit removes the `otp_alert_o` port (ast_pkg::ast_dif_t type) from the otp_ctrl interface and replaces it with two
15,6ee0cf0193bfc2b5bb1b955461404495b1f39b95,spi_host,"[hw,spi_host,rtl] Remove configopts multi register",YES,"[""SEQUENCE_INVALIDATION"", ""RAL_DESYNC""]",HIGH,The RTL commit removes the multi-register structure for configopts (converting from configopts[i] array to a single conf
16,72535bce8c7ead635c8e90ab6911ae7681a4f6ea,alert_handler,[alert_handler/top] Lint fixes and lc_tx_t to mubi4_t conversions,NO,"[""INTERFACE_DRIFT""]",HIGH,The RTL port types for lpg_cg_en_i and lpg_rst_en_i changed from lc_ctrl_pkg::lc_tx_t to prim_mubi_pkg::mubi4_t. The DV 
17,f88ac37a4caf0039159e8281f660515401c1cc59,otbn,"[otbn,dv] Model the local escalation registering in the tracer",NO,"[""CHECKER_DESYNC""]",HIGH,The DV tracer module now registers (pipelines by one cycle) the integrity error signals before feeding them to the inter
18,15df2c3ab0f9f3b7d15bda26c7066e37a58440a7,csrng,[csrng/dv] Align dv with RTL changes,NO,"[""COVERAGE_REGRESSION"", ""SEQUENCE_INVALIDATION""]",HIGH,"The commit removes obsolete command codes (GENB, GENU) and simplifies FSM error modes in csrng_pkg, requiring extensive "
19,b9afd40c3e9d9a8a852c7b8372b1744645ffa15e,aes,"[aes,rtl] Switch to Bivium-based masking PRNG implementation",NO,"[""ASSERTION_ORPHANING"", ""INTERFACE_DRIFT""]",HIGH,The DV diff shows removal of LFSR state signal references (lfsr_q_0 through lfsr_q_4) from assertions and their replacem
20,3f2a1c1223d3ca969b726d0ca982e936c5a42e4b,clkmgr,"[clkmgr, pwrmgr] Add clock handshaking for usb",NO,"[""INTERFACE_DRIFT"", ""SEQUENCE_INVALIDATION""]",HIGH,"The RTL introduces new modules (clkmgr_clk_status, clkmgr_root_ctrl) and splits the monolithic ip_clk_en signal into thr"
21,c90e0c58a98990c1fc667f558c05db6367d5cc37,aes,"[aes] Use sparse encodings for FSMs, trigger alert for invalid states",NO,"[""INTERFACE_DRIFT"", ""SEQUENCE_INVALIDATION"", ""CHECKER_DESYNC""]",HIGH,"The commit renames alert signals from 'ctrl_err_update'/'ctrl_err_storage' to 'recoverable'/'fatal', which breaks DV com"
22,b8db07a467f3e257ea3dea4eaea34447f12e45d5,otbn,[otbn] Add instruction counter.,NO,"[""INTERFACE_DRIFT"", ""RAL_DESYNC""]",HIGH,The RTL diff adds a new 32-bit instruction counter register (INSN_CNT) with new port signals (insn_cnt_o) throughout the
23,09e25ac82d995fc7c9cfc9a18eb1db22c3d3630b,otbn,[otbn] Clear External CSRs RTL,NO,"[""INTERFACE_DRIFT""]",MEDIUM,RTL adds a new port `insn_cnt_clear_i` to otbn_controller and otbn_core modules. The DV testbench (otbn_top_sim.sv) has 
24,39af375e1e56317c6e2989b8c4f73fa0fdde1cfd,edn,[edn/rtl] Add new recoverable alert,NO,"[""SEQUENCE_INVALIDATION""]",MEDIUM,"A new recoverable alert field (csrng_ack_err at bit 13) was added to the recov_alert_sts register, requiring DV sequence"
25,20f8ec1676fcf796a50f3016beaf5dbe486a6aaf,entropy_src,[entropy_src/dv] Run block-level DV with actual FIFO depths,NO,"[""SEQUENCE_INVALIDATION"", ""CHECKER_DESYNC""]",HIGH,The DV diff removes the hardcoded DISTR_FIFO_DEPTH parameter from entropy_src_env_pkg.sv and replaces its use with a bui
26,b13dc6ff8ebb9282155f5c2fbb0e7798d6a76f34,i2c,"[I2C, DV, RTL] Remove a non-existent assertion from DV / RTL",YES,"[""ASSERTION_ORPHANING""]",HIGH,The DV diff removes a $assertoff() call from i2c_host_error_intr_vseq.sv that referenced a non-existent assertion path. 
27,1c9adba488df8a65639a7d66af491eb1e1cb47b7,otp_ctrl,[otp_ctrl] Make DAI registers software-lockable,NO,"[""CHECKER_DESYNC"", ""SEQUENCE_INVALIDATION""]",HIGH,"The RTL change adds software-writable control to the direct_access_regwen register, transitioning it from read-only to a"
28,fc9528c6775c9f568a1a341e0efeab33127f588d,otbn,"[otbn,rtl,dv] Run secure wipe after reset",NO,"[""SEQUENCE_INVALIDATION"", ""CHECKER_DESYNC""]",HIGH,"The RTL introduces a new `INIT_SEC_WIPE` status state that OTBN enters immediately after reset instead of `IDLE`, changi"
29,85d5126183fae9084c9626d890d76b7859d9d89e,otbn,[otbn] Remove SecWipeEn configuration machinery,NO,"[""SEQUENCE_INVALIDATION"", ""CHECKER_DESYNC""]",HIGH,"The removal of the SecWipeEn parameter from RTL modules (otbn.sv, otbn_core.sv, otbn_start_stop_control.sv) cascades int"
30,0cbc6f7d9984fb35218dcd72672013a6fcc3a2a6,i2c,[i2c] Add ACK Control Mode,NO,"[""INTERFACE_DRIFT"", ""SEQUENCE_INVALIDATION"", ""CHECKER_DESYNC"", ""RAL_DESYNC""]",HIGH,"The RTL commit renames the interrupt signal intr_acq_full_o to intr_acq_stretch_o, adds new control registers (target_ac"
31,3345986c784bafc85c70de6a1d51b42588b2e09b,dma,"[hw,dma,dv] Add sequence to test DMA enabled memory region lock register",NO,"[""SEQUENCE_INVALIDATION""]",MEDIUM,"The commit reorders register offsets in dma_reg_pkg.sv (RTL autogenerated register map), moving SHA2_DIGEST registers ea"
32,ee5f4a1abf7dcbfca031bdad5e5aa4aafaefdb33,otbn,[sram_ctrl] Add readback feature,NO,"[""INTERFACE_DRIFT""]",HIGH,"The RTL commit adds new output ports (wr_collision_o, write_pending_o) to memory modules and new input ports (readback_e"
33,1a453313bf3ebde0e7c6805608c485265bd288c2,entropy_src,[entropy_src] Unify FIPS and bypass threshold registers to save area,NO,"[""RAL_DESYNC"", ""CHECKER_DESYNC""]",HIGH,"The RTL unified FIPS and bypass threshold registers into single threshold registers, eliminating separate fips_thresh an"
34,da7fc3571b4a3d8dffd34b230def5472edd7c593,lc_ctrl,"[lc_ctrl,rtl] change lc_flash_rma to lc_nvm_rma",YES,"[""INTERFACE_DRIFT"", ""SEQUENCE_INVALIDATION"", ""COVERAGE_REGRESSION""]",HIGH,"Signal renaming from lc_flash_rma_* to lc_nvm_rma_* breaks DV interface declarations, task signatures in sequences, and "
35,a29dba0686093ce4bbb288768ae0f6381deafc61,i2c,[i2c/rtl] Replace FFs for FIFOs with a single SRAM,NO,"[""INTERFACE_DRIFT""]",MEDIUM,"The RTL diff shows a new input port `ram_cfg_i` added to the i2c module hierarchy (i2c.sv, i2c_core.sv, i2c_fifos.sv). T"
36,57f9776639e938193dfc15c3bcc6c208f07e321d,entropy_src,"[entropy_src] Lock up Ack SM upon fatal local events, align scoreboard",YES,"[""CHECKER_DESYNC""]",HIGH,The RTL changed the Ack SM's escalation condition from a single signal (es_cntr_err) to a broader one (fatal_loc_events)
37,5403f07ce4577de469ab70206af00ec30e5460ad,adc_ctrl,[adc_ctrl] update filter detection,NO,"[""CHECKER_DESYNC""]",HIGH,The RTL changed the filter match logic from AND (both channels must match) to a conditional OR/AND logic where disabled 
38,486824971574f7810d5a00540130113a868d6dce,edn,[dv/edn] edn_sec_cm enhancement,NO,"[""SEQUENCE_INVALIDATION""]",MEDIUM,The DV diff shows enhancement to edn_common_vseq.sv with new task implementations (sec_cm_inject_fault override and send
39,02eaac710afb2080e64706e73b1b5d0f8d017e1b,keymgr,[kmac] Moving KDF struct to KMAC IP,NO,"[""INTERFACE_DRIFT""]",HIGH,The DV interface file keymgr_if.sv uses explicit type references (keymgr_pkg::kmac_data_req_t and keymgr_pkg::kmac_data_
40,5d4d4e522848ee15d5423836cf00c334296a1c45,rom_ctrl,[rom_ctrl] KMAC interface optimization,NO,"[""CHECKER_DESYNC""]",HIGH,The RTL changed the KMAC interface strobes from full-width ('1) to byte-selective (5 bytes for 39-bit data). The scorebo
41,81ccf2754d896fe5bb8cea011314d7c31fb74662,csrng,[csrng/rtl] Remove the keyvrc FIFO from ctr_drbg_cmd,NO,"[""INTERFACE_DRIFT"", ""SEQUENCE_INVALIDATION"", ""CHECKER_DESYNC""]",HIGH,The RTL removal of the keyvrc FIFO and its associated error signals breaks multiple DV components: (1) env_pkg.sv enumer
42,144ca84e05878fb6b813bfe18c776c22eb287a3a,aes,[aes] Add life cycle escalation signal,NO,"[""INTERFACE_DRIFT""]",HIGH,A new input port `lc_escalate_en_i` has been added to the aes module interface. The DV diff shows the testbench module i
43,6efde1ecc4ddd4ec2e38ddcf3697b76bb78d18a3,flash_ctrl,[flash_ctrl] Move flash init to software control instead of hardware,NO,"[""INTERFACE_DRIFT"", ""SEQUENCE_INVALIDATION""]",HIGH,The RTL changes the pwrmgr interface from a request-response pair (pwr_flash_req_t input + pwr_flash_rsp_t output) to a 
44,671369d854841f8c46e7efd07e98487902d17a39,sram_ctrl,"[racl,rtl,sram_ctrl,spi_host,spi_device] Enable RACL ranges for sram_ctrl",NO,"[""ASSERTION_ORPHANING"", ""INTERFACE_DRIFT""]",HIGH,The RTL changes rename the instantiation from `u_tlul_adapter_sram` to `u_tlul_adapter_sram_racl` and wrap it in a new h
45,b3c72069c2e77c5826cf9d5dcb689705c3879070,rv_dm,[rv_dm] Implement NDM reset tracking,NO,"[""INTERFACE_DRIFT"", ""CHECKER_DESYNC""]",HIGH,"RTL adds two new module ports (clk_lc_i, rst_lc_ni) for NDM reset tracking with changed reset behavior logic; TB testben"
46,454f88af63fb474af3fb31c19802417dea01b91a,sysrst_ctrl,[sysrst_ctrl] Signal naming cleanup for D3,NO,"[""INTERFACE_DRIFT"", ""SEQUENCE_INVALIDATION"", ""RAL_DESYNC""]",HIGH,"RTL signal renaming (aon_sysrst_ctrl_rst_req_o → rst_req_o, intr_sysrst_ctrl_o → intr_event_detected_o, register field s"
47,c2cab430429e24be07799bd227e1cddf9f831b2e,otbn,"[otbn, rtl] Blank flag generation in bignum ALU for SCA hardening",NO,"[""CHECKER_DESYNC""]",HIGH,The DV diff modifies otbn_trace_if.sv to reflect RTL changes in flag update logic. The tracer's reference model for flag
48,64bf228e401a5b927f676bfdaf9bef1a1fa6d48e,otbn,"[otbn,rtl] Tweak how we check integrity for ISPRs",NO,"[""INTERFACE_DRIFT"", ""CHECKER_DESYNC""]",HIGH,The RTL change modifies the integrity error checking logic for ISPRs by replacing signal `ispr_rdata_used` with new sign
49,b98c6c530017ac4e58c5ea214919163e6fad038d,i2c,[i2c] Reject Start/Stop if SCL changes too soon,NO,"[""SEQUENCE_INVALIDATION""]",HIGH,The RTL introduces timing constraints requiring SCL to be held stable for at least thd_dat cycles before a Start/Stop sy
50,7dc8f2045d833b003b0d43b8307ef2d6e80dc834,hmac,"[hmac,cleanup] Fix typos in comments/docs",NO,"[""OTHER""]",HIGH,"This commit contains only typo fixes in comments and documentation across DV files (README.md, .core file, and comment-o"
